Hail,173,Ash Shamli
Hail,99,Baqaa
Hail,92,Ash Shinan
Hail,137,Sumaira’a
Hail,105,Al Ghazalah
Baqaa,318,Rafha
Baqaa,279,Qbah
Baqaa,387,Al Uwayqilah
Baqaa,168,Shari
Baqaa,101,Ash Shinan
Baqaa,416,Dumah Al Jandal
Al Ghazalah,81,Mawqaq
Al Ghazalah,173,Ash Shinan
Al Ghazalah,109,Sumaira’a
Al Ghazalah,74,Al Sulaimi
Al Ghazalah,167,Al Neqrah
Al Ghazalah,187,Ash Shamli
Al Ghazalah,147,Al Hait
Arar,243.33,Turaif
Arar,163.44,Sakaka
Arar,137,Al Uwayqilah
Arar,204.36,Dumah Al Jandal
Rafha,153,Al Uwayqilah
Rafha,277,Hafar Al Batin
Rafha,414,Sakaka
Rafha,359,Qbah
Rafha,396,Ash Shinan
Sakaka,48,Dumah Al Jandal
Sakaka,440,Baqaa
Sakaka,352,Al Uwayqilah
Al Qurayyat,132,Tubarjal
Al Qurayyat,160,Turaif
Hafar Al Batin,273,Nairyah
Hafar Al Batin,241,Qbah
Hafar Al Batin,277,Rafha
Buraydah,33.11,Al Qaraa
Buraydah,127,Shari
Buraydah,33.78,Unayzah
Buraydah,65.03,Al Asyah
Buraydah,97.47,Al Mukharim
Buraydah,33.76,Ash Shimasiyah
Buraydah,269,Hail
Al Bukayriyah,46.3,Unayzah
Al Bukayriyah,39.11,Al Qaraa
Al Bukayriyah,41.36,Buraydah
Al Bukayriyah,80,Ash Shimasiyah
Al Bukayriyah,32,Al Badayea
Al Bukayriyah,16.44,Riyadh Al Khabra
Al Bukayriyah,156,Sumaira’a
Unayzah,40,Buraydah
Unayzah,53,Ash Shimasiyah
Unayzah,109.23,Az Zulfi
Unayzah,113.43,Aqla
Unayzah,112,Al Ghat
Unayzah,105.45,Umm Hazim
Unayzah,37.75,Al Mithnab
Unayzah,34,Al Badayea
Unayzah,46.3,Al Bukayriyah
Ar Rass,26,Riyadh Al Khabra
Ar Rass,30,Al Badayea
Ar Rass,72,Al Petra
